ZipCode,Month,Year,CustomerClass,TotalCustomers,TotalkWh,AveragekWh
92019,8,2022,C,0,0,0
92019,8,2022,I,0,0,0
92019,8,2022,R,14587,12664938,868
92020,8,2022,A,0,0,0
92020,8,2022,C,2287,22286004,9745
92020,8,2022,I,0,0,0
92020,8,2022,R,20716,14369329,694
92021,8,2022,A,0,0,0
92021,8,2022,C,1271,10899094,8575
92021,8,2022,I,0,0,0
92021,8,2022,R,21262,18252514,858
92024,8,2022,A,0,0,0
92024,8,2022,C,0,0,0
92024,8,2022,I,0,0,0
92024,8,2022,R,4188,1341385,320
92025,8,2022,A,0,0,0
92025,8,2022,C,2031,14723618,7249
92025,8,2022,I,0,0,0
92025,8,2022,R,15485,10500480,678
92026,8,2022,A,0,0,0
92026,8,2022,C,602,5848614,9715
92026,8,2022,I,0,0,0
92026,8,2022,R,18199,12272477,674
92027,8,2022,A,0,0,0
92027,8,2022,C,1596,15631925,9794
92027,8,2022,I,0,0,0
92027,8,2022,R,16303,12685778,778
92028,8,2022,A,0,0,0
92028,8,2022,C,1574,9092484,5777
92028,8,2022,I,0,0,0
92028,8,2022,R,17239,11843820,687
92029,8,2022,A,0,0,0
92029,8,2022,C,0,0,0
92029,8,2022,I,0,0,0
92029,8,2022,R,7268,6012966,827
92036,8,2022,A,0,0,0
92036,8,2022,C,0,0,0
92036,8,2022,I,0,0,0
92036,8,2022,R,2374,1446043,609
92037,8,2022,A,0,0,0
92037,8,2022,C,0,0,0
92037,8,2022,I,0,0,0
92037,8,2022,R,3068,1266009,413
92040,8,2022,A,0,0,0
92040,8,2022,C,796,5698202,7159
92040,8,2022,I,0,0,0
92040,8,2022,R,14055,13371583,951
92045,8,2022,C,0,0,0
92045,8,2022,I,0,0,0
92045,8,2022,R,0,0,0
92049,8,2022,A,0,0,0
92049,8,2022,C,0,0,0
92049,8,2022,I,0,0,0
92049,8,2022,R,0,0,0
92054,8,2022,A,0,0,0
92054,8,2022,C,1336,12536467,9384
92054,8,2022,I,0,0,0
92054,8,2022,R,15897,6978531,439
92055,8,2022,A,0,0,0
92055,8,2022,C,0,0,0
92055,8,2022,I,0,0,0
92055,8,2022,R,0,0,0
92056,8,2022,A,0,0,0
92056,8,2022,C,1139,15367453,13492
92056,8,2022,I,0,0,0
92056,8,2022,R,20339,9580899,471
92057,8,2022,A,0,0,0
92057,8,2022,C,0,0,0
92057,8,2022,I,0,0,0
92057,8,2022,R,19714,9945724,505
92058,8,2022,A,0,0,0
92058,8,2022,C,0,0,0
92058,8,2022,I,0,0,0
92058,8,2022,R,7171,5620258,784
92059,8,2022,A,0,0,0
92059,8,2022,C,0,0,0
92059,8,2022,I,0,0,0
92059,8,2022,R,521,601652,1155
92060,8,2022,A,0,0,0
92060,8,2022,C,0,0,0
92060,8,2022,I,0,0,0
92060,8,2022,R,0,0,0
92061,8,2022,A,0,0,0
92061,8,2022,C,0,0,0
92061,8,2022,I,0,0,0
92061,8,2022,R,981,1083966,1105
92064,8,2022,A,0,0,0
92064,8,2022,C,0,0,0
92064,8,2022,I,0,0,0
92064,8,2022,R,15559,11919590,766
92065,8,2022,A,0,0,0
92065,8,2022,C,0,0,0
92065,8,2022,I,0,0,0
92065,8,2022,R,12257,11603174,947
92066,8,2022,A,0,0,0
92066,8,2022,C,0,0,0
92066,8,2022,I,0,0,0
92066,8,2022,R,0,0,0
92067,8,2022,A,0,0,0
92067,8,2022,C,364,3014414,8281
92067,8,2022,I,0,0,0
92067,8,2022,R,3723,6860177,1843
92068,8,2022,A,0,0,0
92068,8,2022,C,0,0,0
92068,8,2022,I,0,0,0
92068,8,2022,R,0,0,0
92069,8,2022,A,0,0,0
92069,8,2022,C,1322,12819614,9697
92069,8,2022,I,0,0,0
92069,8,2022,R,15097,8869115,587
92070,8,2022,A,0,0,0
92070,8,2022,C,0,0,0
92070,8,2022,I,0,0,0
92070,8,2022,R,0,0,0
92071,8,2022,A,0,0,0
92071,8,2022,C,1414,11658497,8245
92071,8,2022,I,0,0,0
92071,8,2022,R,19999,15235974,762
